# File generated fom CXRO data
# found in https://henke.lbl.gov/optical_constants/asf.html
#S 89 Ac
#UF1ADD 0.0
#N 3
#L PhotonEnergy[eV]  f1  f2
      983.7830     48.566200     35.755100
      999.6950     49.489700     36.062900
     1015.8600     50.735100     36.295900
     1032.2900     51.866700     35.845100
     1048.9900     52.780300     35.387800
     1065.9600     53.548600     34.929500
     1083.2000     54.239500     34.476000
     1100.7200     54.872400     34.028300
     1118.5200     55.459500     33.586400
     1136.6100     56.007500     33.148900
     1155.0000     56.521200     32.716900
     1173.6800     57.003900     32.290200
     1192.6600     57.457100     31.868300
     1211.9500     57.880500     31.451600
     1231.5500     58.266600     31.039800
     1251.4700     58.618200     30.661000
     1271.7200     58.947300     30.317500
     1292.2900     59.295000     30.015500
     1313.1900     59.655200     29.715000
     1334.4300     60.018500     29.417300
     1356.0100     60.383900     29.122500
     1377.9400     60.750900     28.829300
     1400.2300     61.120700     28.538600
     1422.8800     61.496900     28.250600
     1445.8900     61.886100     27.964200
     1469.2800     62.303600     27.662500
     1493.0400     62.753700     27.336700
     1517.1900     63.170500     26.902000
     1541.7300     63.529600     26.458400
     1566.6700     63.844100     26.021500
     1592.0100     64.131300     25.590400
     1617.7600     64.395900     25.166100
     1643.9200     64.641500     24.748400
     1670.5100     64.870700     24.336900
     1697.5300     65.085200     23.931900
     1724.9900     65.296400     23.533300
     1752.8900     65.493500     23.122000
     1781.2400     65.668800     22.711200
     1810.0500     65.823900     22.302300
     1839.3200     65.959300     21.900000
     1869.0700     66.078500     21.504700
     1899.3000     66.183100     21.116300
     1930.0200     66.273500     20.734000
     1961.2400     66.350100     20.358300
     1992.9600     66.409600     19.988900
     2025.2000     66.471800     19.637300
     2057.9500     66.523700     19.268000
     2091.2400     66.552600     18.901900
     2125.0600     66.565000     18.540200
     2159.4300     66.560100     18.181900
     2194.3600     66.538700     17.828600
     2229.8500     66.499700     17.478500
     2265.9200     66.442000     17.132700
     2302.5700     66.365100     16.791500
     2339.8100     66.268500     16.454600
     2377.6600     66.150300     16.121300
     2416.1100     66.008800     15.792600
     2455.1900     65.842900     15.468000
     2494.9000     65.649500     15.147000
     2535.2600     65.425800     14.830600
     2576.2600     65.168900     14.518400
     2617.9300     64.874400     14.210700
     2660.2700     64.537900     13.907800
     2703.3000     64.152700     13.608200
     2747.0300     63.709900     13.313000
     2791.4600     63.198900     13.022100
     2836.6100     62.604800     12.735400
     2882.4900     61.907000     12.452700
     2929.1100     61.075000     12.174000
     2976.4800     60.062600     11.899600
     3024.6300     58.792900     11.629300
     3073.5500     57.122700     11.363000
     3123.2600     54.730000     11.100500
     3173.7800     50.549700     10.841900
     3218.9000     18.927300     10.619500
     3219.1000     18.928300     26.690100
     3225.1100     39.924800     26.613200
     3277.2700     50.487500     25.959900
     3330.2800     51.335400     25.326000
     3370.1000     32.782200     24.866400
     3370.3000     32.792400     35.597900
     3384.1500     50.236900     35.375200
     3438.8800     57.445400     34.516700
     3494.5000     60.779000     33.681400
     3551.0200     63.065300     32.869300
     3608.4600     64.781300     32.076900
     3666.8200     66.098500     31.304200
     3726.1300     67.083000     30.552000
     3786.4000     67.715200     29.816900
     3847.6400     67.782300     29.102400
     3908.9000     59.241900     28.415600
     3909.1000     59.245800     33.088600
     3909.8700     62.483100     33.078700
     3973.1100     69.793200     32.280700
     4037.3800     71.601900     31.503000
     4102.6800     72.890100     30.744600
     4169.0300     73.919400     30.004700
     4236.4600     74.777400     29.284100
     4304.9800     75.502800     28.579900
     4374.6200     76.113600     27.894100
     4445.3700     76.614500     27.225500
     4517.2700     76.988600     26.573600
     4590.3300     77.147500     25.936400
     4655.9000     74.494300     25.385900
     4656.1000     74.495500     26.866400
     4664.5800     76.644500     26.796000
     4740.0300     78.119700     26.183800
     4816.6900     78.758000     25.587300
     4894.6000     79.186700     25.006400
     4973.7700     79.303900     24.438000
     5001.9000     77.804800     24.241200
     5002.1000     77.806000     25.167300
     5054.2100     79.943700     24.807900
     5135.9600     80.637800     24.261600
     5219.0300     81.163200     23.723300
     5303.4400     81.612400     23.193100
     5389.2200     82.010500     22.671000
     5476.3900     82.369700     22.157700
     5564.9700     82.696500     21.652700
     5654.9800     82.995300     21.156400
     5746.4400     83.269200     20.668700
     5839.3900     83.520800     20.189800
     5933.8300     83.751900     19.719400
     6029.8100     83.964400     19.257700
     6127.3300     84.159300     18.804600
     6226.4400     84.338000     18.360400
     6327.1500     84.501700     17.924800
     6429.4800     84.651400     17.497900
     6533.4800     84.788000     17.079400
     6639.1500     84.912100     16.669300
     6746.5400     85.024400     16.267800
     6855.6500     85.125700     15.874700
     6966.5400     85.216800     15.490200
